111015;Lucio Vano;0;Delfini Argentati;Argento e Nero;Onde Argentate
111016;Lucio Zampa;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111017;Marcello Meloni;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111018;Antonio Michele Mussini;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111019;Rosa Maria Angrisani;0;Cavalieri d'Argento;Argento e Blu;
111020;Antonio Salvatore Palombo;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111021;Francesco Maria D'alessandro Prisco;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111022;Ernesto Caridi;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111023;Antonello Casson;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111024;Licia Cicolani;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111025;Rocco Vito Caruso;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111026;Susanna Lina Giulia Donati;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111027;Cosimo Formisano;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111028;Furio Borgonzoni;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111029;Nico Cappelletti;0;Pinguini Polari;Bianco e Nero;
111030;Magda Angela Fattorini;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111031;Simonetta Crucioli;0;Cavalieri d'Argento;Argento e Blu;
111032;Manuela La Pietra;0;Pavoni Reali;Oro e Viola;Ali Reali
111033;Stefano Fassone;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111034;Gianmauro Donise;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111035;Romualdo Vittorio Di Stefano;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111036;Romualdo Vittorio Bettoni Brandani;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111037;Euprepio Lunesu;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111038;Anna Maria Faraone;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111039;Luca Cervellini;0;Ippopotami Viola;Viola e Oro;
111040;Ada Sangalli;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111041;Saverio Zaffini;0;Cavalieri d'Argento;Argento e Blu;
111042;Paola Lumia;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111043;Felicia Del Vecchio;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111044;Daniele Presutto;0;Cavalieri d'Argento;Argento e Blu;
111045;Beppe Folloni;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111046;Fernando Vetrella;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111047;Cristiano Giaretta;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111048;Emilia Grazia Pecoraro Scanio;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111049;Alessandrina Caridi;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111050;Emanuela De Vecchis;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
111051;Luca Salvato;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111052;Fabiola Cursi;0;Delfini Argentati;Argento e Nero;Onde Argentate
111053;Fabrizio Sollo;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
111054;Peppe Mazzaracchio;0;Gatti Neri;Nero e Viola;
111055;Vita Maria Perosino;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
111056;Lara Piscitelli;0;Pinguini Polari;Bianco e Nero;
111057;Rocco Murelli;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111058;Niccolo' Greco;0;Pavoni Reali;Oro e Viola;Ali Reali
111059;Fiorenza Pistorio;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111060;Liborio Pizzinato;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111061;Adelaide Candiani;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111062;Tarcisio Cardinali;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111063;Maria Agostina Brignone;0;Orsi Polari;Bianco e Blu;
111064;Manuel Lombardo;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111065;Gianluca Dal Mas;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111066;Fulvio Scotti;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111067;Vilma Terracini;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
111068;Vincenzo Digilio;0;Orsi Polari;Bianco e Blu;
111069;Liliana Modica;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111070;Ludovico Livi Bacci;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111071;Cosimo Giaretta;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111072;Maria Domenica Leddi;0;Orsi Polari;Bianco e Blu;
111073;Vera Liliana Cozzolino;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
111074;Silvia Centaro;0;Pavoni Reali;Oro e Viola;Ali Reali
111075;Ilaria Abate;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111076;Leonzio Barbato;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111077;Tilde Amorena;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111078;Guido Cesare Ucchielli;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
111079;Julia Toninelli;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
111080;Barbara Ucchielli;0;Pinguini Polari;Bianco e Nero;
111081;Antonino Toia;0;Ippopotami Viola;Viola e Oro;
111082;Davide Tajani;0;Gatti Neri;Nero e Viola;
111083;Massimiliano Garavaglia;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
111084;Raffaella Mennuni;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111085;Gregorio Pinotti;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111086;Patrizio Giacomo Albertini;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111087;Costanzo Buccarella;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111088;Maria Adduce;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111089;Tiziano Monticone;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111090;Carlo Azeglio Avogadro;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111091;Santo Poli;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
111092;Emilio Gatti;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111093;Lionello Marco Borea;0;Gatti Neri;Nero e Viola;
111094;Isabella Speranzon;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111095;Lucio Alessio Fregolent;0;Cavalieri d'Argento;Argento e Blu;
111096;Davide Salvitti;0;Pinguini Polari;Bianco e Nero;
111097;Fulvio Fedeli;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111098;Ylenia Pirondini;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111099;Silvano Milana;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111100;Elio Rocchi;0;Ippopotami Viola;Viola e Oro;
111101;Laura Moncada;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111102;Maria Teresa Sambin;0;Gatti Neri;Nero e Viola;
111103;Bianca Laura D'angelo;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
111104;Pietro Nastri;0;Cavalieri d'Argento;Argento e Blu;
111105;Adolfo Fucksia;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111106;Niccolo' Sudano;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111107;Benedetto Alicata;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111108;Michela Agostinelli;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111109;Giorgio Maria Sallemi;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
111110;Beatrice Divina;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111111;Danilo Carpinelli;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111112;Benedetto Tosato;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111113;Cesarino Pezzopane;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111114;Pippo Ricchiuti;0;Cavalieri d'Argento;Argento e Blu;
111115;Anna Cinzia Provera;0;Ippopotami Viola;Viola e Oro;
111116;Fedele Scivoletto;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111117;Peppe Curto;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111118;Antonio Franco Scarpetti;0;Orsi Polari;Bianco e Blu;
111119;Aurora Saccone;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111120;Lucia Monteleone;0;Aquile Reali;Blu e Oro;Reali del Cielo
111121;Elvio Aimi;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
111122;Giuseppe Francesco Maria Maggi;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111123;Michaela Orsi;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111124;Rossana Lauria;0;Aquile Reali;Blu e Oro;Reali del Cielo
111125;Egidio Luigi Polledri;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111126;Cesarino Cintola;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111127;Sabina Durigon;0;Ippopotami Viola;Viola e Oro;
111128;Martino Crescenzio;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111129;Angela Anna Bruna Toniolli;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111130;Gianrico Durigon;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111131;Rossella Mangialavori;0;Aquile Reali;Blu e Oro;Reali del Cielo
111132;Fiorenza Sbarbati;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111133;Cinzia Maria Oliva;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
111134;Gian Carlo Minasi;0;Delfini Argentati;Argento e Nero;Onde Argentate
111135;Cristina Manzione;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
111136;Simona Nunzia Moncada;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111137;Umberto Favero;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111138;Gaspare Antonio Procacci;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111139;Gregorio Riccardi;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111140;Giulia Mura;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
111141;Elvio Morgoni;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111142;Maria Rosaria Centinaio;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111143;Ivo Ceccato;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111144;Tarcisio Adragna;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111145;Bruno Morando;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111146;Ada Gabana;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111147;Eva Piloni;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111148;Emilia Grazia Musolino;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111149;Vincenzo Maria Burani Procaccini;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111150;Lidia Gasperini;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111151;Adele Lopreiato;0;Gatti Neri;Nero e Viola;
111152;Patrizio Cosenza;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111153;Anna Puglia;0;Delfini Argentati;Argento e Nero;Onde Argentate
111154;Gianpaolo Trevisi;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111155;Giulia Corsini;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111156;Tancredi Serra;0;Gatti Neri;Nero e Viola;
111157;Gennaro Donno;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111158;Francesco Saverio Saia;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
111159;Hans Gabana;0;Orsi Polari;Bianco e Blu;
111160;Elidio Barba;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111161;Filippo Maria Fina;0;Pinguini Polari;Bianco e Nero;
111162;Erika Lauria;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111163;Sabrina Labellarte;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
111164;Learco La Mura;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111165;Saverio Salvatore Basini;0;Falchi Grigi;Grigio e Nero;Falchi del Vento
111166;Sebastiano Rufa;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111167;Willer Taverna;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111168;Candido Gruosso;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111169;Valerio Benvenuto;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111170;Elvio Senese;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111171;Fedele Bocchino;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111172;Pierluigi Botto;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111173;Francesco Enrico Travaglia;0;Pinguini Polari;Bianco e Nero;
111174;Mario Alejandro Cucca;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111175;Italo Mastella;0;Pavoni Reali;Oro e Viola;Ali Reali
111176;Giulio Mario Provera;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111177;Lanfranco Fazzone;0;Ippopotami Viola;Viola e Oro;
111178;Mariastella Cirami;0;Pinguini Polari;Bianco e Nero;
111179;Raffaella Fiormaria Maraventano;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111180;Giulio Ortolani;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111181;Simona Flavia Borghi;0;Delfini Argentati;Argento e Nero;Onde Argentate
111182;Carlo Ricchiuti;0;Orsi Polari;Bianco e Blu;
111183;Stanislao Quagliariello;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111184;Mario Alejandro Petrucci;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111185;Giovanni Vittorio Federici;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111186;Raffaela Taviani;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111187;Tino De Paoli;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111188;Felicia Stradiotto;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111189;Albert Battisti;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111190;Julia Borghesi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111191;Michele Razzi;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111192;Giovanbattista Crosio;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111193;Tiziana Cortelloni;0;Pavoni Reali;Oro e Viola;Ali Reali
111194;Marco Maiorino;0;Aquile Reali;Blu e Oro;Reali del Cielo
111195;Cinzia Dalla Zuanna;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111196;Eugenio Mario Veraldi;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
111197;Giuseppe Maria Stucchi;0;Gatti Neri;Nero e Viola;
111198;Corrado Zeffirelli;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
111199;Simona Flavia Adduce;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111200;Albertina Parola;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111201;Vito Claudio Casoli;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111202;Gaetano Scarabosio;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111203;Michelina Bellini;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
111204;Anna Rita Carpi;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111205;Giampaolo Saro;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111206;Nico Gabana;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
111207;Simone Biondi;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111208;Giuliano La Pietra;0;Cavalieri d'Argento;Argento e Blu;
111209;Gianvittorio Vedani;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111210;Giovanni Pietro Ricciardi;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111211;Walter Vacciano;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111212;Susy Puppato;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111213;Maria Laura Puglisi;0;Ippopotami Viola;Viola e Oro;
111214;Salvatore Tito Gagliardi;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111215;Gian Carlo Gustavino;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111216;Esterino Saltamartini;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111217;Elidio Longo;0;Pinguini Polari;Bianco e Nero;
111218;Egidio Enrico Marchetti;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111219;Anna Bratina;0;Gatti Neri;Nero e Viola;
111220;Saverio Lombardi Satriani;0;Cavalieri d'Argento;Argento e Blu;
111221;Eva Fantola;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111222;Tilde Mascioni;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111223;Erica Gamba;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111224;Egidio Enrico Nannicini;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111225;Ignazio Rapani;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111226;Elio Massimo Ayala;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111227;Maria Ida Renzi;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111228;Eugenio Mario Barbolini;0;Orsi Polari;Bianco e Blu;
111229;Bianca Laura Vicini;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111230;Annamaria Berrino;0;Ippopotami Viola;Viola e Oro;
111231;Accursio Benvenuto;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111232;Simona Battista;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111233;Costanzo Castellone;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111234;Guido Quintino Lonardo;0;Orsi Polari;Bianco e Blu;
111235;Alfonso Scoma;0;Delfini Argentati;Argento e Nero;Onde Argentate
111236;Silvio Emilio De Santis;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111237;Aurelio Giuseppe Cintola;0;Pinguini Polari;Bianco e Nero;
111238;Ludovico Magnolfi;0;Aquile Reali;Blu e Oro;Reali del Cielo
111239;Meinhard Maiorino;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111240;Vittoria Francesca Maria Borghesi;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111241;Mara Sangalli;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111242;Corrado Guasti;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111243;Mino Barbato;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
111244;Jonny Marchetti;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111245;Pierpaolo Zanettin;0;Cavalieri d'Argento;Argento e Blu;
111246;Albert Fazio;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111247;Pierluigi Mirabelli;0;Aquile Reali;Blu e Oro;Reali del Cielo
111248;Stanislao Scalfarotto;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111249;Enzo Mandelli;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111250;Giorgio Musi;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111251;Mariastella Mancino;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111252;Felice Carlo Visentin;0;Pinguini Polari;Bianco e Nero;
111253;Hans Bosi;0;Gatti Neri;Nero e Viola;
111254;Lorenzo Emilio Galioto;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111255;Angelo D'alia;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111256;Lionello Marco Crescenzio;0;Aquile Reali;Blu e Oro;Reali del Cielo
111257;Vito Rosario Abbado;0;Pinguini Polari;Bianco e Nero;
111258;Sara Rotondi;0;Ippopotami Viola;Viola e Oro;
111259;Giulio Di Giorgi;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111260;Alessandrina Alessandrini;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111261;Eugenio Mario Morgoni;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111262;Lucio Alessio Forcieri;0;Delfini Argentati;Argento e Nero;Onde Argentate
111263;Vincenzo Maria Losurdo;0;Cavalieri d'Argento;Argento e Blu;
111264;Guglielmo Tesei;0;Orsi Polari;Bianco e Blu;
111265;Fulvio Toia;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111266;Nazario Bordon;0;Orsi Polari;Bianco e Blu;
111267;Edo Scibona;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111268;Assuntela Legnini;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111269;Massimo Vittorio Turano;0;Cavalieri d'Argento;Argento e Blu;
111270;Cesarino Crema;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111271;Antonio Salvatore Piccone;0;Camaleonti Arcobaleno;Blu e Verde;Camaleonti Magici
111272;Elio Massimo Masini;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111273;Oreste Bianchi;0;Orsi Polari;Bianco e Blu;
111274;Gabriele Baccini;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111275;Salvo Santini;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111276;Ettore Randazzo;0;Pinguini Polari;Bianco e Nero;
111277;Cristiano Cario;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111278;Goffredo Maria Togni;0;Ippopotami Viola;Viola e Oro;
111279;Stanislao Capaldi;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111280;Beppe Pedrini;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111281;Maria Chiara Scarpa Bonazza Buora;0;Gatti Neri;Nero e Viola;
111282;Ettore Minzolini;0;Scorpioni Rossi;Giallo e Verde;Scorpioni d'Acciaio
111283;Barbara Borghi;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111284;Mariapia Saia;0;Gatti Neri;Nero e Viola;
111285;Donatella Martone;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111286;Roberta Sircana;0;Orsi Polari;Bianco e Blu;
111287;Susanna Donatella Di Piazza;0;Orsi Polari;Bianco e Blu;
111288;Adriana Caddeo;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111289;Milos Tedesco;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111290;Raffaele Messina;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111291;Sonia Giacobbe;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111292;Adele Poretti;0;Orsi Polari;Bianco e Blu;
111293;Stefania Petrocelli;0;Zebre Striate;Bianco e Rosso;Zebre Elettriche
111294;Maria Elisabetta Piatti;0;Tigri Nere;Nero e Arancione;Tigri Infuocate
111295;Rossana Bonifazi;0;Cavalieri d'Argento;Argento e Blu;
111296;Tana Veronesi;0;Cavalieri d'Argento;Argento e Blu;
111297;Giulio Ponzo;0;Rinoceronti Blu;Verde e Argento;Rino Blu
111298;Giusy Stancanelli;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111299;Mario Crisafulli;0;Aquile Reali;Blu e Oro;Reali del Cielo
111300;Mariangela Minasi;0;Pavoni Reali;Oro e Viola;Ali Reali
111301;Ylenia Sarro;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111302;Raffaele Lunardi;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111303;Elena Castelli;0;Cinghiali Selvaggi;Marrone e Verde;Cinghiali Ruggenti
111304;Michaela Papaevangeliu;0;Ippopotami Viola;Viola e Oro;
111305;Sandro Mario Brignone;0;Pavoni Reali;Oro e Viola;Ali Reali
111306;Milziade Ciccanti;0;Volpi del Bosco;Blu e Rosso;Volpi Veloci
111307;Valerio Piano;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111308;Lavinia Ranieri;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111309;Giuseppe Cossiga;0;Squali Azzurri;Azzurro e Bianco;Predatori del Mare
111310;Marina Forcieri;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111311;Tino Federici;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111312;Lorenzo Emilio Barrile;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
111313;Stanislao Alessandro De Feo;0;Delfini Argentati;Argento e Nero;Onde Argentate
111314;Caterina Terzi Di Sant'agata;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111315;Clemente Gamba;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111316;Cristiano Botto;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111317;Leonardo Pezzopane;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111318;Emanuela Ceccanti;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111319;Alberto Adalgisio Marchetti;0;Cavalli Selvaggi;Rosso e Argento;Cavalieri Selvaggi
111320;Dafne Ranieri;0;Pavoni Reali;Oro e Viola;Ali Reali
111321;Alberto Pietro Maria Collino;0;Gatti Neri;Nero e Viola;
111322;Pippo Bellini;0;Leoni Dorati;Giallo e Nero;Leoni Ruggenti
111323;Bernabo' Bedin;0;Delfini Argentati;Argento e Nero;Onde Argentate
111324;Manfredi Cintola;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111325;Vincenzo Curto;0;Pavoni Reali;Oro e Viola;Ali Reali
111326;Maria Domenica Ceruti;0;Aquile Blu;Blu e Bianco;Aquile Volanti
111327;Nando Capelli;0;Dragoni Rossi;Rosso e Nero;Fiamme Rosse
111328;Umberto De Eccher;0;Corvi della Tempesta;Grigio e Blu;Tempesta Oscura
111329;Bianca Laura Mastrangeli;0;Pantere Rosa;Rosa e Grigio;Pantere Fiere
111330;Gisella Presutto;0;Ippopotami Viola;Viola e Oro;
111331;Gian Pietro D'onghia;0;Aquile Reali;Blu e Oro;Reali del Cielo
111332;Lodovico De Carolis;0;Ippopotami Viola;Viola e Oro;
111333;Ivo Lucherini;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111334;Antonio Ronconi;0;Coccodrilli Verdi;Verde e Marrone;Coccodrilli d'Acciaio
111335;Nicolo' Mangialavori;0;Serpenti Dorati;Oro e Rosso;Serpenti Dorati
111336;Elio Nannicini;0;Lupi del Nord;Bianco e Grigio;Ululati del Nord
111337;Renato Guerino Nerozzi;0;Fenici Rosse;Rosso e Arancione;Ali di Fuoco
111338;Tommaso Dalla Chiesa;0;Fulmini Verdi;Verde e Giallo;Lampi Verdi
111339;Vincenza Malentacchi;0;Gufi Notturni;Viola e Grigio;Occhi nella Notte
111340;Piergiorgio Barbato;0;Orsi Polari;Bianco e Blu;
111341;Furio Galimberti;0;Elefanti Grigi;Nero e Bianco;Elefanti Titanici
